arXiv:1010.0072, Title: Linear regression through PAC-Bayesian truncation
arXiv:1010.0074, Title: Robust linear least squares regression
arXiv:1010.0124, Title: A model selection approach to genome wide association studies
arXiv:1010.0173, Title: Validated Intraclass Correlation Statistics to Test Item Performance  Models
arXiv:1010.0274, Title: Group-Lasso on Splines for Spectrum Cartography
arXiv:1010.0297, Title: Brownian distance covariance
arXiv:1010.0300, Title: Regularization in regression: comparing Bayesian and frequentist methods  in a poorly informative situation
arXiv:1010.0303, Title: Likelihood Inference for Models with Unobservables: Another View
arXiv:1010.0304, Title: Model Assessment Tools for a Model False World
arXiv:1010.0305, Title: Inference and Modeling with Log-concave Distributions
arXiv:1010.0306, Title: Interval Estimation for Messy Observational Data
arXiv:1010.0308, Title: The Impact of Levene's Test of Equality of Variances on Statistical  Theory and Practice
arXiv:1010.0310, Title: A Conversation with Leo Goodman
arXiv:1010.0311, Title: High-dimensional Ising model selection using ${\ell_1}$-regularized  logistic regression
arXiv:1010.0312, Title: Asymptotic distribution of conical-hull estimators of directional edges
arXiv:1010.0313, Title: Adjusted empirical likelihood with high-order precision
arXiv:1010.0320, Title: Estimation in additive models with highly or nonhighly correlated  covariates
arXiv:1010.0324, Title: An identity of Jack polynomials
arXiv:1010.0328, Title: A new and flexible method for constructing designs for computer  experiments
arXiv:1010.0335, Title: Limit theorems for moving averages of discretized processes plus noise
arXiv:1010.0426, Title: Adaptive estimator of the memory parameter and goodness-of-fit test  using a multidimensional increment ratio statistic
arXiv:1010.0427, Title: On the consistency of Fréchet means in deformable models for curve and  image analysis
arXiv:1010.0439, Title: Nonparametric kernel estimation of the probability density function of  regression errors using estimated residuals
arXiv:1010.0483, Title: Exact properties of Efron's biased coin randomization procedure
arXiv:1010.0490, Title: Optional Pólya tree and Bayesian inference
arXiv:1010.0499, Title: Statistical analysis of $k$-nearest neighbor collaborative  recommendation
arXiv:1010.0514, Title: Quantile calculus and censored regression
arXiv:1010.0520, Title: Successive normalization of rectangular arrays
arXiv:1010.0535, Title: Asymptotic Normality of Support Vector Machine Variants and Other  Regularized Kernel Methods
arXiv:1010.0556, Title: Regularizers for Structured Sparsity
arXiv:1010.0581, Title: Approximation of conditional densities by smooth mixtures of regressions
arXiv:1010.0591, Title: Asymptotics and optimal bandwidth selection for highest density region  estimation
arXiv:1010.0621, Title: Local Optimality of User Choices and Collaborative Competitive Filtering
arXiv:1010.0694, Title: Statistical inference optimized with respect to the observed sample for  single or multiple comparisons
arXiv:1010.0745, Title: On the Existence of the MLE for a Directed Random Graph Network Model  with Reciprocation
arXiv:1010.0772, Title: A bagging SVM to learn from positive and unlabeled examples
arXiv:1010.0789, Title: Estimation of low-rank tensors via convex optimization
arXiv:1010.0792, Title: Weakly dependent functional data
arXiv:1010.0796, Title: Efficient estimation for a subclass of shape invariant models
arXiv:1010.0804, Title: Discussion of Likelihood Inference for Models with Unobservables:  Another View
arXiv:1010.0807, Title: Discussion of Likelihood Inference for Models with Unobservables:  Another View
arXiv:1010.0810, Title: Decoding the H-likelihood
arXiv:1010.0814, Title: Rejoinder: Likelihood Inference for Models with Unobservables Another  View
arXiv:1010.0822, Title: Discussion of: Brownian distance covariance
arXiv:1010.0825, Title: Discussion of: Brownian distance covariance
arXiv:1010.0828, Title: Discussion of: Brownian distance covariance
arXiv:1010.0836, Title: Discussion of: Brownian distance covariance
arXiv:1010.0838, Title: Discussion of: Brownian distance covariance
arXiv:1010.0839, Title: Discussion of: Brownian distance covariance
arXiv:1010.0842, Title: Tuning Tempered Transitions
arXiv:1010.0844, Title: Rejoinder: Brownian distance covariance
arXiv:1010.0891, Title: Modeling social networks from sampled data
arXiv:1010.0959, Title: Quasi-estimation as a Basis for Two-stage Solving of Regression Problem
arXiv:1010.1049, Title: On the Convergence of Bayesian Regression Models
arXiv:1010.1092, Title: Deriving chemosensitivity from cell lines: Forensic bioinformatics and  reproducible research in high-throughput biology
arXiv:1010.1108, Title: Analysis of dependence among size, rate and duration in internet flows
arXiv:1010.1126, Title: Optimal experiment design in a filtering context with application to  sampled network data
arXiv:1010.1157, Title: An integrative analysis of cancer gene expression studies using Bayesian  latent factor modeling
arXiv:1010.1224, Title: Analysis of 24-Hour Ambulatory Blood Pressure Monitoring Data using  Orthonormal Polynomials in the Linear Mixed Model
arXiv:1010.1357, Title: Model misspecification in peaks over threshold analysis
arXiv:1010.1372, Title: Sequential Monte Carlo pricing of American-style options under  stochastic volatility models
arXiv:1010.1397, Title: An MDL approach to the climate segmentation problem
arXiv:1010.1402, Title: Causal graphical models in systems genetics: A unified framework for  joint inference of causal network and genetic architecture for correlated  phenotypes
arXiv:1010.1406, Title: A multivariate adaptive stochastic search method for dimensionality  reduction in classification
arXiv:1010.1410, Title: Hidden Markov models for alcoholism treatment trial data
arXiv:1010.1425, Title: An empirical Bayes mixture method for effect size and false discovery  rate estimation
arXiv:1010.1430, Title: A latent factor model for spatial data with informative missingness
arXiv:1010.1435, Title: Estimation of constant and time-varying dynamic parameters of HIV  infection in a nonlinear differential equation model
arXiv:1010.1437, Title: Mixed-Membership Stochastic Block-Models for Transactional Networks
arXiv:1010.1445, Title: Adaptive estimation of covariance matrices via Cholesky decomposition
arXiv:1010.1508, Title: Certain Relations between Mutual Information and Fidelity of Statistical  Estimation
arXiv:1010.1595, Title: Using parallel computation to improve Independent Metropolis--Hastings  based estimation
arXiv:1010.1601, Title: Group Lasso estimation of high-dimensional covariance matrices
arXiv:1010.1604, Title: Downscaling extremes: A comparison of extreme value distributions in  point-source and gridded precipitation data
arXiv:1010.1613, Title: Nonparametric inference procedure for percentiles of the random effects  distribution in meta-analysis
arXiv:1010.1625, Title: A new method for obtaining sharp compound Poisson approximation error  estimates for sums of locally dependent random variables
arXiv:1010.1636, Title: E-loyalty networks in online auctions
arXiv:1010.1639, Title: Dirichlet mean identities and laws of a class of subordinators
arXiv:1010.1666, Title: Approximating a geometric fractional Brownian motion and related  processes via discrete Wick calculus
arXiv:1010.1672, Title: Strong approximations of level exceedences related to multiple  hypothesis testing
arXiv:1010.1688, Title: Latent diffusion models for survival analysis
arXiv:1010.1799, Title: On Wishart distribution
arXiv:1010.1868, Title: Infinite Hierarchical MMSB Model for Nested Communities/Groups in Social  Networks
