arXiv:1803.00001, Title: The Alpha-Beta-Symetric Divergence and their Positive Definite Kernel
arXiv:1803.00006, Title: Multi-part balanced incomplete-block designs
arXiv:1803.00082, Title: GraphVar 2.0: A user-friendly toolbox for machine learning on functional  connectivity measures
arXiv:1803.00098, Title: A general measure of the impact of priors in Bayesian statistics via  Stein's Method
arXiv:1803.00113, Title: Approximate Inference for Constructing Astronomical Catalogs from Images
arXiv:1803.00114, Title: SQL-Rank: A Listwise Approach to Collaborative Ranking
arXiv:1803.00125, Title: A social Network Analysis of the Operations Research/Industrial  Engineering Faculty Hiring Network
arXiv:1803.00138, Title: A novel approach for fusion of heterogeneous sources of data
arXiv:1803.00156, Title: Autoencoding topology
arXiv:1803.00184, Title: Learning Sparse Structured Ensembles with SG-MCMC and Network Pruning
arXiv:1803.00186, Title: Smoothed analysis for low-rank solutions to semidefinite programs in  quadratic penalty form
arXiv:1803.00195, Title: The Anisotropic Noise in Stochastic Gradient Descent: Its Behavior of  Escaping from Minima and Regularization Effects
arXiv:1803.00200, Title: Probability-Scale Residuals in HIV/AIDS Research: Diagnostics and  Inference
arXiv:1803.00212, Title: prDeep: Robust Phase Retrieval with a Flexible Deep Network
arXiv:1803.00218, Title: Interval-based Prediction Uncertainty Bound Computation in Learning with  Missing Values
arXiv:1803.00257, Title: Modeling Data Containing Outliers using ARIMA Additive Outlier  (ARIMA-AO)
arXiv:1803.00276, Title: Model-Based Clustering and Classification of Functional Data
arXiv:1803.00293, Title: Nonparametric Analysis of Clustered Multivariate Data
arXiv:1803.00360, Title: Computing Bayes factors to measure evidence from experiments: An  extension of the BIC approximation
arXiv:1803.00422, Title: Distributed regression modeling for selecting markers under data  protection constraints
arXiv:1803.00426, Title: Computing the Cumulative Distribution Function and Quantiles of the  limit of the Two-sided Kolmogorov-Smirnov Statistic
arXiv:1803.00472, Title: Multimode: An R Package for Mode Assessment
arXiv:1803.00491, Title: The Power Mean Laplacian for Multilayer Graph Clustering
arXiv:1803.00500, Title: Natural data structure extracted from neighborhood-similarity graphs
arXiv:1803.00502, Title: Understand Functionality and Dimensionality of Vector Embeddings: the  Distributional Hypothesis, the Pairwise Inner Product Loss and Its  Bias-Variance Trade-off
arXiv:1803.00508, Title: Structural break analysis in high-dimensional covariance structure
arXiv:1803.00513, Title: Integrative Bayesian Analysis of Brain Functional Networks Incorporating  Anatomical Knowledge
arXiv:1803.00567, Title: Computational Optimal Transport
arXiv:1803.00609, Title: On Statistical Non-Significance
arXiv:1803.00613, Title: A shiny update to an old experiment game
arXiv:1803.00650, Title: Kernel Embedding Approaches to Orbit Determination of Spacecraft  Clusters
arXiv:1803.00679, Title: Random perturbation and matrix sparsification and completion
arXiv:1803.00698, Title: Next Steps for the Colorado Risk-Limiting Audit (CORLA) Program
arXiv:1803.00715, Title: Robust Multivariate Nonparametric Tests via Projection-Pursuit
arXiv:1803.00733, Title: Continuous-time GARCH process driven by semi-Lévy process
arXiv:1803.00739, Title: Markov Switch Smooth Transition HYGARCH Model: Stability and Estimation
arXiv:1803.00810, Title: Detecting non-causal artifacts in multivariate linear regression models
arXiv:1803.00816, Title: NetGAN: Generating Graphs via Random Walks
arXiv:1803.00841, Title: Gradient-based Sampling: An Adaptive Importance Sampling for  Least-squares
arXiv:1803.00885, Title: Essentially No Barriers in Neural Network Energy Landscape
arXiv:1803.00889, Title: Scalable Bayesian uncertainty quantification in imaging inverse problems  via convex optimization
arXiv:1803.00992, Title: Label Sanitization against Label Flipping Poisoning Attacks
arXiv:1803.01043, Title: Building a Telescope to Look Into High-Dimensional Image Spaces
arXiv:1803.01113, Title: Slow and Stale Gradients Can Win the Race: Error-Runtime Trade-offs in  Distributed SGD
arXiv:1803.01150, Title: Confidence intervals for high-dimensional Cox models
arXiv:1803.01156, Title: A Generalization of the Exponential-Logarithmic Distribution for  Reliability and Life Data Analysis
arXiv:1803.01159, Title: Enhancement of land-use change modeling using convolutional neural  networks and convolutional denoising autoencoders
arXiv:1803.01175, Title: Inference on the marginal distribution of clustered data with  informative cluster size
arXiv:1803.01188, Title: Estimation and inference for precision matrices of non-stationary time  series
arXiv:1803.01203, Title: Multiresolution Tensor Decomposition for Multiple Spatial Passing  Networks
arXiv:1803.01223, Title: Long-Term Implications of the Revenue Transfer Methodology in the  Affordable Care Act
arXiv:1803.01231, Title: Bayesian Projected Calibration of Computer Models
arXiv:1803.01233, Title: Fast and Sample Efficient Inductive Matrix Completion via Multi-Phase  Procrustes Flow
arXiv:1803.01240, Title: An extension of Azzalini's method
arXiv:1803.01302, Title: Distributed Nonparametric Regression under Communication Constraints
arXiv:1803.01327, Title: Bayesian factor models for probabilistic cause of death assessment with  verbal autopsies
arXiv:1803.01328, Title: WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling
arXiv:1803.01347, Title: Greedy stochastic algorithms for entropy-regularized optimal transport  problems
arXiv:1803.01422, Title: DAGs with NO TEARS: Continuous Optimization for Structure Learning
arXiv:1803.01440, Title: Hierarchical Modeling and Shrinkage for User Session Length Prediction  in Media Streaming
arXiv:1803.01454, Title: Fast Best Subset Selection: Coordinate Descent and Local Combinatorial  Optimization Algorithms
arXiv:1803.01489, Title: Recurrent Predictive State Policy Networks
arXiv:1803.01570, Title: Adversarial Extreme Multi-label Classification
arXiv:1803.01575, Title: A Comparative Study of Pairwise Learning Methods based on Kernel Ridge  Regression
arXiv:1803.01576, Title: Asymptotic Equivalence of Fixed-size and Varying-size Determinantal  Point Processes
arXiv:1803.01626, Title: Variance-Aware Regret Bounds for Undiscounted Reinforcement Learning in  MDPs
arXiv:1803.01665, Title: Expected length of post-model-selection confidence intervals conditional  on polyhedral constraints
arXiv:1803.01682, Title: Beyond Greedy Ranking: Slate Optimization via List-CVAE
arXiv:1803.01688, Title: Estimation in emerging epidemics: biases and remedies
arXiv:1803.01699, Title: Banded Spatio-Temporal Autoregressions
arXiv:1803.01719, Title: How to Start Training: The Effect of Initialization and Architecture
arXiv:1803.01785, Title: Differentiable Submodular Maximization
