arXiv:1804.00003, Title: Spectral Estimation of Plasma Fluctuations I: Comparison of Methods
arXiv:1804.00034, Title: On inference validity of weighted U-statistics under data heterogeneity
arXiv:1804.00049, Title: Assessing inter-modal and inter-regional dependencies in prodromal  Alzheimer's disease using multimodal MRI/PET and Gaussian graphical models
arXiv:1804.00069, Title: Engineering a Simplified 0-Bit Consistent Weighted Sampling
arXiv:1804.00096, Title: A proportional hazards model for interval-censored data subject to  instantaneous failures
arXiv:1804.00102, Title: Collaborative targeted inference from continuously indexed nuisance  parameter estimators
arXiv:1804.00104, Title: Learning Disentangled Joint Continuous and Discrete Representations
arXiv:1804.00108, Title: Learning tensors from partial binary measurements
arXiv:1804.00130, Title: Locally Convex Sparse Learning over Networks
arXiv:1804.00160, Title: Robust Wald-type test in GLM with random design based on minimum density  power divergence estimators
arXiv:1804.00191, Title: Improving Portfolios Global Performance with Robust Covariance Matrix  Estimation: Application to the Maximum Variety Portfolio
arXiv:1804.00195, Title: Efficient and Robust Semi-Supervised Estimation of Average Treatment  Effects in Electronic Medical Records Data
arXiv:1804.00230, Title: Smoothing-based tests with directional random variables
arXiv:1804.00237, Title: Flexible Model Selection for Mechanistic Network Models via Super  Learner
arXiv:1804.00285, Title: Toroidal diffusions and protein structure evolution
arXiv:1804.00286, Title: An overview of uniformity tests on the hypersphere
arXiv:1804.00292, Title: EarthMapper: A Tool Box for the Semantic Segmentation of Remote Sensing  Imagery
arXiv:1804.00327, Title: Socioeconomic bias in influenza surveillance
arXiv:1804.00341, Title: Sparse Principal Component Analysis via Variable Projection
arXiv:1804.00353, Title: Bayesian Mosaic: Parallelizable Composite Posterior
arXiv:1804.00355, Title: Near-Optimal Recovery of Linear and N-Convex Functions on Unions of  Convex Sets
arXiv:1804.00408, Title: Sparse Gaussian ICA
arXiv:1804.00430, Title: Constrained Least Squares for Extended Complex Factor Analysis
arXiv:1804.00541, Title: The use of the Higher Order Singular Value Decomposition of the  4-cumulant's tensors in features selection and outlier detection
arXiv:1804.00545, Title: A Formula for Type III Sums of Squares
arXiv:1804.00567, Title: Asymptotic normality and analysis of variance of log-likelihood ratios  in spiked random matrix models
arXiv:1804.00609, Title: Adaptive Algorithm for Sparse Signal Recovery
arXiv:1804.00631, Title: Central Limit Theorems for Classical Multidimensional Scaling
arXiv:1804.00681, Title: Stochastic EM for Shuffled Linear Regression
arXiv:1804.00727, Title: Momentum-Space Renormalization Group Transformation in Bayesian Image  Modeling by Gaussian Graphical Model
arXiv:1804.00735, Title: A Fast Divide-and-Conquer Sparse Cox Regression
arXiv:1804.00760, Title: Process Control with Highly Left Censored Data
arXiv:1804.00766, Title: Calibration of Sobol indices estimates in case of noisy output
arXiv:1804.00778, Title: High-Dimensional Joint Estimation of Multiple Directed Gaussian  Graphical Models
arXiv:1804.00793, Title: A spline-assisted semiparametric approach to non-parametric measurement  error models
arXiv:1804.00795, Title: Estimation of Markov Chain via Rank-Constrained Likelihood
arXiv:1804.00808, Title: Simple estimators for network sampling
arXiv:1804.00836, Title: Learning on Hypergraphs with Sparsity
arXiv:1804.00849, Title: Robust estimation of continuous-time ARMA models via indirect inference
arXiv:1804.00864, Title: Adaptive distributed methods under communication constraints
arXiv:1804.00888, Title: Grouped Heterogeneous Mixture Modeling for Clustered Data
arXiv:1804.00891, Title: Hyperspherical Variational Auto-Encoders
arXiv:1804.00989, Title: On tight bounds for the Lasso
arXiv:1804.01016, Title: Large-Scale Cox Process Inference using Variational Fourier Features
arXiv:1804.01049, Title: Two-stage approach for the inference of the source of high-dimension and  complex chemical data in forensic science
arXiv:1804.01050, Title: Training VAEs Under Structured Residuals
arXiv:1804.01054, Title: Prediction intervals for random-effects meta-analysis: a confidence  distribution approach
arXiv:1804.01071, Title: Average performance analysis of the stochastic gradient method for  online PCA
arXiv:1804.01182, Title: Predictive and Prescriptive Analytics for Location Selection of Add-on  Retail Products
arXiv:1804.01185, Title: A Mixture Model to Detect Edges in Sparse Co-expression Graphs
arXiv:1804.01187, Title: On the Existence of Uniformly Most Powerful Bayesian Tests With  Application to Non-Central Chi-Squared Tests
arXiv:1804.01201, Title: Variable selection using pseudo-variables
arXiv:1804.01230, Title: The noise barrier and the large signal bias of the Lasso and other  convex estimators
arXiv:1804.01268, Title: Robust Discrimination between Long-Range Dependence and a Change in Mean
arXiv:1804.01269, Title: On approximate least squares estimators of parameters on one-dimensional  chirp signal
arXiv:1804.01330, Title: An Imprecise Probabilistic Estimator for the Transition Rate Matrix of a  Continuous-Time Markov Chain
arXiv:1804.01367, Title: A dynamic network model to measure exposure diversification in the  Austrian interbank market
arXiv:1804.01431, Title: Posterior Inference for Sparse Hierarchical Non-stationary Models
arXiv:1804.01440, Title: Model assessment for time series dynamics using copula spectral  densities: a graphical tool
arXiv:1804.01454, Title: Beta regression control chart for monitoring fractions and proportions
arXiv:1804.01458, Title: Shape-Constrained Univariate Density Estimation
arXiv:1804.01466, Title: Gaussian Process Subset Scanning for Anomalous Pattern Detection in  Non-iid Data
arXiv:1804.01528, Title: Non-parametric cure rate estimation under insufficient follow-up using  extremes
arXiv:1804.01592, Title: Identification of Shallow Neural Networks by Fewest Samples
arXiv:1804.01618, Title: Functional Summaries of Persistence Diagrams
arXiv:1804.01619, Title: Stability and Convergence Trade-off of Iterative Optimization Algorithms
